origin_city,dest_city,total_trips,unique_drivers,total_cost,avg_cost,min_cost,max_cost
Казань,Санкт-Петербург,1,1,29050.0,29050.0,29050.0,29050.0
Казань,Тольятти,3,3,45000.0,15000.0,10000.0,20000.0
Казань,Уфа,2,2,27000.0,13500.0,12000.0,15000.0
Казань,Челябинск,1,1,25000.0,25000.0,25000.0,25000.0
Калининград,Санкт-Петербург,1,1,80000.0,80000.0,80000.0,80000.0
Кемерово,Иркутск,1,1,20000.0,20000.0,20000.0,20000.0
Киров,Москва,1,1,23800.0,23800.0,23800.0,23800.0
Краснодар,Екатеринбург,2,2,65000.0,32500.0,20000.0,45000.0
Краснодар,Краснодар,2,1,9500.0,4750.0,4500.0,5000.0
Краснодар,Мариуполь,1,1,20000.0,20000.0,20000.0,20000.0
Краснодар,Москва,8,8,147000.0,18375.0,12000.0,25000.0
Краснодар,Новосибирск,1,1,50000.0,50000.0,50000.0,50000.0
Краснодар,Омск,1,1,60000.0,60000.0,60000.0,60000.0
Краснодар,Санкт-Петербург,1,1,28000.0,28000.0,28000.0,28000.0
Краснодар,Симферополь,1,1,26000.0,26000.0,26000.0,26000.0
Краснодар,Сочи,7,7,490000.0,70000.0,20000.0,90000.0
Краснодар,Тольятти,2,2,30000.0,15000.0,15000.0,15000.0
Краснодар,Уфа,1,1,34000.0,34000.0,34000.0,34000.0
Краснодар,Челябинск,1,1,40000.0,40000.0,40000.0,40000.0
Красноярск,Биробиджан,1,1,35000.0,35000.0,35000.0,35000.0
Красноярск,Благовещенск,1,1,37750.0,37750.0,37750.0,37750.0
